GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Altria Group,0.7
Alphabet Inc,3,Jp Morgan Chase And Co,Thomson Reuters Corp,6.1
Microsoft Corp,3,Bank Of America Corp,Coastal Financial Corp,1.1
Microsoft Corp,3,Bank Of America Corp,Federal National Mortgage Association,1.4
Morgan Stanley International Holdings Inc,3,Intercontinental Exchange,Ubs Group Ag,0.6
Pepsico Inc,3,Jp Morgan Chase And Co,Waddell And Reed Financial Inc,11.9
Coca-Cola Company,3,Bank Of America Corp,Astrazeneca Plc,1.8
Goldman Sachs Group Inc,3,Wells Fargo And Company,Energy Transfer Lp  1,15.7
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,E Trade Financial Corp,1.1
Coca-Cola Company,1,Coca-Cola Company,Jefferies Financial Group Inc,2.5
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Piper Jaffray Companies,1.2
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Intercontinental Exchange,46.5
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Discover Financial Services,1.7
Pepsico Inc,1,Pepsico Inc,Sandp Global Inc,3.2
Morgan Stanley International Holdings Inc,2,Berkshire Hathaway Inc,Goldman Sachs Group Inc,0.7
Coca-Cola Company,2,Post Holdings Inc,Wells Fargo And Company,0.6
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Bank Of America Corp,48.9
Microsoft Corp,2,Verizon Communications Inc,Vodafone Group Plc,0.8
Microsoft Corp,2,Cisco Systems Inc,Jp Morgan Chase And Co,8.5
Coca-Cola Company,2,Philip Morris International Inc,Hsbc Holdings Plc,2.8
Coca-Cola Company,2,Philip Morris International Inc,London Stock Exchange Group Plc,0.7
Coca-Cola Company,2,Jefferies Financial Group Inc,Sandp Global Inc,3.6
Pepsico Inc,2,Jp Morgan Chase And Co,Amazon Com Inc,0.8
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Lloyds Banking Group Plc,2.4
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Norfolk Southern Corp,2.2
Goldman Sachs Group Inc,2,Citigroup Inc,Bank Of America Corp,29.8
Goldman Sachs Group Inc,2,Citigroup Inc,Intercontinental Exchange,5.7
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Deutsche Bank,0.6
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Ally Financial,0.5
Coca-Cola Company,2,Intercontinental Exchange,Highwoods Properties Inc,0.5
Coca-Cola Company,2,Intercontinental Exchange,Wells Fargo And Company,92.2
Coca-Cola Company,2,Intercontinental Exchange,Federal Home Loan Mortgage Corp,2.6
Coca-Cola Company,2,Intercontinental Exchange,Ing Groep Nv,9.0
Goldman Sachs Group Inc,3,Federal Home Loan Mortgage Corp,Jp Morgan Chase And Co,16.7
Goldman Sachs Group Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,1.2
Alphabet Inc,3,Nokia Corp,Jp Morgan Chase And Co,2.2
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Mastercard Inc,2.0
Coca-Cola Company,3,Citigroup Inc,General Electric Company,7.5
Alphabet Inc,3,Goldman Sachs Group Inc,Berkshire Hathaway Inc,2.6
