GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Alphabet Inc,2,Honeywell International Inc,Garrett Motion Inc,,72
Alphabet Inc,2,Ebay Inc,Naspers Ltd,,810
Alphabet Inc,2,Altaba Inc,Tribune Media Co,,50
Alphabet Inc,2,Atandt Inc,Warner Media Llc,,11073
Alphabet Inc,1,Alphabet Inc,Cadence Bancorporation,Investigation,196
Alphabet Inc,3,Formfactor Inc,Noranda Aluminum Holding Corp,,28
Alphabet Inc,3,Duke Energy Corp,Bank Of The Carolinas Corp,,13
Microsoft Corp,2,Apache Corp,Bp Plc,,160
Coca-Cola Company,1,Coca-Cola Company,Nextera Energy,,648
Alphabet Inc,2,Gilead Sciences Inc,Pfizer Inc,,1386
Alphabet Inc,2,Sandp Global Inc,Apollo Global Management Llc,,450
Alphabet Inc,2,Goldman Sachs Group Inc,Fair Isaac Corp,,128
Microsoft Corp,1,Microsoft Corp,Nextera Energy,,270
Microsoft Corp,1,Microsoft Corp,Starbucks Corp,,390
Microsoft Corp,2,3M Company,Cna Financial Corp,,66
Microsoft Corp,2,Alphabet Inc,Ebay Inc,,336
Microsoft Corp,1,Microsoft Corp,Biotelemetry Inc,,240
Microsoft Corp,3,American Airlines Group Inc,Expressjet Holdings Inc,,20
Microsoft Corp,1,Microsoft Corp,Dell Inc,,660
Microsoft Corp,2,Adobe Inc,Trade Desk Inc,,180
Microsoft Corp,2,Bank Of America Corp,Vanguard Group,,26010
Microsoft Corp,3,Hp Inc,John Hancock Preferred,,147
Microsoft Corp,3,Enterprise Products Partners L P,Plains Gp Holdings Lp,,75
Alphabet Inc,2,Honeywell International Inc,United Technologies Corp,Transaction,264
Jp Morgan Chase And Co,3,Maiden Holdings Ltd,Endurance Specialty Holdings Ltd,,18
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Ecolab Inc,,768
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Pnc Financial Services Group Inc,,8330
Jp Morgan Chase And Co,3,Ally Financial,Gap Inc,,344
Coca-Cola Company,1,Coca-Cola Company,Costa Group Holdings Ltd,Transaction,168
Microsoft Corp,2,Us Bancorp,Usb Realty Corp,,250
Microsoft Corp,2,Mcafee Inc,Informatica Llc,,4
Microsoft Corp,3,Symantec Corp,Carbonite Inc,,32
Microsoft Corp,2,Hp Inc,Hewitt Associates Inc,,11
Microsoft Corp,2,Symantec Corp,Aon Plc,,480
Microsoft Corp,2,Bank Of America Corp,Fair Isaac Corp,,2444
Microsoft Corp,1,Microsoft Corp,Aol Inc,,15
Jp Morgan Chase And Co,3,Kimberly-Clark Corp,Bank Of America Corp,,84246
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Federal Home Loan Mortgage Corp,,1708460
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Nomura Holdings Inc,,3825
Alphabet Inc,1,Alphabet Inc,Nasdaq Inc,,84
Alphabet Inc,1,Alphabet Inc,Bank Of New York Mellon Corp,,364
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Baidu Inc,,1664
Goldman Sachs Group Inc,3,Tesla Inc,Societe Generale,Corporate,450
Jp Morgan Chase And Co,3,Nasdaq Inc,Cboe Global Markets Inc,,468
Goldman Sachs Group Inc,2,Cbs Corp,Microsoft Corp,,975
Jp Morgan Chase And Co,2,Bank Of America Corp,Deutsche Bank,,8580
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Cold Spring Capital Inc,,153
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Smtc Corp,,102
Jp Morgan Chase And Co,2,Fair Isaac Corp,Equifax Inc,,2112
Alphabet Inc,2,Microsoft Corp,Dell Inc,,1782
Goldman Sachs Group Inc,3,Intel Corp,Advanced Micro Devices Inc,,2992
Goldman Sachs Group Inc,3,Booking Holdings Inc,Target Corp,,220
Jp Morgan Chase And Co,3,Emergent Biosolutions,Pfenex Inc,,16
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,The Northern Trust Company,,3808
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Intercontinental Exchange,Communication,272640
Goldman Sachs Group Inc,2,Valeant Pharmaceuticals International Inc,Perrigo Company Public Limited Company,,324
Goldman Sachs Group Inc,2,Vroom Inc,Booking Holdings Inc,,80
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Franklin Financial Network Inc,,640
Jp Morgan Chase And Co,3,Square Inc,Starbucks Corp,,1742
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Navistar International Corp,,4800
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Realogy Holdings Corp,,204
